l,norm,kR
1,1.256439e+01,8.0000
2,2.744404e+00,8.0000
3,5.265487e-01,8.0000
4,5.200942e-02,8.0000
5,3.917811e-03,8.0000
6,6.399659e-04,8.0000
7,3.855501e-06,8.0000
8,7.343203e-08,8.0000
9,2.563828e-09,8.0000
10,1.451292e-10,8.0000
11,8.441888e-12,8.0000
12,4.553682e-13,8.0000
13,2.685909e-14,8.0000
14,1.630997e-15,8.0000
15,1.027843e-16,8.0000
16,6.300484e-18,8.0000
17,3.842136e-19,8.0000
18,2.316098e-20,8.0000
19,1.457098e-21,8.0000
20,9.433174e-23,8.0000
